id,family,n,precision,selected,correct,oracle,reference_correct,selection_changed
f0-01,0,1,native,41,False,False,False,False
f0-02,0,1,native,45,False,False,False,False
f0-04,0,1,native,57,True,True,True,False
f0-05,0,1,native,78,False,False,False,False
f0-07,0,1,native,13,False,False,False,False
f0-08,0,1,native,48,False,False,False,False
f0-10,0,1,native,73,False,False,False,False
f0-11,0,1,native,-7,False,False,False,False
f0-13,0,1,native,40,False,False,False,False
f0-14,0,1,native,54,False,False,False,False
f0-16,0,1,native,79,False,False,False,False
f0-17,0,1,native,14,False,False,False,False
f0-19,0,1,native,104,False,False,False,False
f0-20,0,1,native,64,False,False,False,False
f0-22,0,1,native,45,False,False,False,False
f0-23,0,1,native,16,False,False,False,False
f0-25,0,1,native,35,False,False,False,False
f0-26,0,1,native,26,False,False,False,False
f0-28,0,1,native,41,False,False,False,False
f0-29,0,1,native,49,False,False,False,False
f1-01,1,1,native,650,False,False,False,False
f1-02,1,1,native,506,False,False,False,False
f1-04,1,1,native,124,False,False,False,False
f1-05,1,1,native,215,False,False,False,False
f1-07,1,1,native,730,False,False,False,False
f1-08,1,1,native,422,False,False,False,False
f1-10,1,1,native,265,False,False,False,False
f1-11,1,1,native,42,False,False,False,False
f1-13,1,1,native,517,False,False,False,False
f1-14,1,1,native,1255,False,False,False,False
f1-16,1,1,native,377,False,False,False,False
f1-17,1,1,native,1211,False,False,False,False
f1-19,1,1,native,738,False,False,False,False
f1-20,1,1,native,164,False,False,False,False
f1-22,1,1,native,579,False,False,False,False
f1-23,1,1,native,310,False,False,False,False
f1-25,1,1,native,131,False,False,False,False
f1-26,1,1,native,337,False,False,False,False
f1-28,1,1,native,412,False,False,False,False
f1-29,1,1,native,805,False,False,False,False
f2-01,2,1,native,831,False,False,False,False
f2-02,2,1,native,736,False,False,False,False
f2-04,2,1,native,704,False,False,False,False
f2-05,2,1,native,724,False,False,False,False
f2-07,2,1,native,600,False,False,False,False
f2-08,2,1,native,127,False,False,False,False
f2-10,2,1,native,294,False,False,False,False
f2-11,2,1,native,1254,False,False,False,False
f2-13,2,1,native,1616,False,False,False,False
f2-14,2,1,native,802,False,False,False,False
f2-16,2,1,native,1313,False,False,False,False
f2-17,2,1,native,183,False,False,False,False
f2-19,2,1,native,359,False,False,False,False
f2-20,2,1,native,566,False,False,False,False
f2-22,2,1,native,694,False,False,False,False
f2-23,2,1,native,368,False,False,False,False
f2-25,2,1,native,157,False,False,False,False
f2-26,2,1,native,1428,False,False,False,False
f2-28,2,1,native,1988,False,False,False,False
f2-29,2,1,native,280,True,True,True,False
f3-01,3,1,native,474,False,False,False,False
f3-02,3,1,native,57,False,False,False,False
f3-04,3,1,native,96,False,False,False,False
f3-05,3,1,native,-1,False,False,False,False
f3-07,3,1,native,305,True,True,True,False
f3-08,3,1,native,386,False,False,False,False
f3-10,3,1,native,376,False,False,False,False
f3-11,3,1,native,204,False,False,False,False
f3-13,3,1,native,-1,False,False,False,False
f3-14,3,1,native,335,False,False,False,False
f3-16,3,1,native,292,False,False,False,False
f3-17,3,1,native,974,False,False,False,False
f3-19,3,1,native,154,False,False,False,False
f3-20,3,1,native,502,False,False,False,False
f3-22,3,1,native,579,False,False,False,False
f3-23,3,1,native,665,False,False,False,False
f3-25,3,1,native,115,False,False,False,False
f3-26,3,1,native,106,False,False,False,False
f3-28,3,1,native,225,False,False,False,False
f3-29,3,1,native,92,False,False,False,False
f0-01,0,1,8,41,False,False,False,False
f0-02,0,1,8,45,False,False,False,False
f0-04,0,1,8,57,True,True,True,False
f0-05,0,1,8,78,False,False,False,False
f0-07,0,1,8,13,False,False,False,False
f0-08,0,1,8,48,False,False,False,False
f0-10,0,1,8,73,False,False,False,False
f0-11,0,1,8,-7,False,False,False,False
f0-13,0,1,8,40,False,False,False,False
f0-14,0,1,8,54,False,False,False,False
f0-16,0,1,8,79,False,False,False,False
f0-17,0,1,8,14,False,False,False,False
f0-19,0,1,8,104,False,False,False,False
f0-20,0,1,8,64,False,False,False,False
f0-22,0,1,8,45,False,False,False,False
f0-23,0,1,8,16,False,False,False,False
f0-25,0,1,8,35,False,False,False,False
f0-26,0,1,8,26,False,False,False,False
f0-28,0,1,8,41,False,False,False,False
f0-29,0,1,8,49,False,False,False,False
f1-01,1,1,8,650,False,False,False,False
f1-02,1,1,8,506,False,False,False,False
f1-04,1,1,8,124,False,False,False,False
f1-05,1,1,8,215,False,False,False,False
f1-07,1,1,8,730,False,False,False,False
f1-08,1,1,8,422,False,False,False,False
f1-10,1,1,8,265,False,False,False,False
f1-11,1,1,8,42,False,False,False,False
f1-13,1,1,8,517,False,False,False,False
f1-14,1,1,8,1255,False,False,False,False
f1-16,1,1,8,377,False,False,False,False
f1-17,1,1,8,1211,False,False,False,False
f1-19,1,1,8,738,False,False,False,False
f1-20,1,1,8,164,False,False,False,False
f1-22,1,1,8,579,False,False,False,False
f1-23,1,1,8,310,False,False,False,False
f1-25,1,1,8,131,False,False,False,False
f1-26,1,1,8,337,False,False,False,False
f1-28,1,1,8,412,False,False,False,False
f1-29,1,1,8,805,False,False,False,False
f2-01,2,1,8,831,False,False,False,False
f2-02,2,1,8,736,False,False,False,False
f2-04,2,1,8,704,False,False,False,False
f2-05,2,1,8,724,False,False,False,False
f2-07,2,1,8,600,False,False,False,False
f2-08,2,1,8,127,False,False,False,False
f2-10,2,1,8,294,False,False,False,False
f2-11,2,1,8,1254,False,False,False,False
f2-13,2,1,8,1616,False,False,False,False
f2-14,2,1,8,802,False,False,False,False
f2-16,2,1,8,1313,False,False,False,False
f2-17,2,1,8,183,False,False,False,False
f2-19,2,1,8,359,False,False,False,False
f2-20,2,1,8,566,False,False,False,False
f2-22,2,1,8,694,False,False,False,False
f2-23,2,1,8,368,False,False,False,False
f2-25,2,1,8,157,False,False,False,False
f2-26,2,1,8,1428,False,False,False,False
f2-28,2,1,8,1988,False,False,False,False
f2-29,2,1,8,280,True,True,True,False
f3-01,3,1,8,474,False,False,False,False
f3-02,3,1,8,57,False,False,False,False
f3-04,3,1,8,96,False,False,False,False
f3-05,3,1,8,-1,False,False,False,False
f3-07,3,1,8,305,True,True,True,False
f3-08,3,1,8,386,False,False,False,False
f3-10,3,1,8,376,False,False,False,False
f3-11,3,1,8,204,False,False,False,False
f3-13,3,1,8,-1,False,False,False,False
f3-14,3,1,8,335,False,False,False,False
f3-16,3,1,8,292,False,False,False,False
f3-17,3,1,8,974,False,False,False,False
f3-19,3,1,8,154,False,False,False,False
f3-20,3,1,8,502,False,False,False,False
f3-22,3,1,8,579,False,False,False,False
f3-23,3,1,8,665,False,False,False,False
f3-25,3,1,8,115,False,False,False,False
f3-26,3,1,8,106,False,False,False,False
f3-28,3,1,8,225,False,False,False,False
f3-29,3,1,8,92,False,False,False,False
f0-01,0,1,4,41,False,False,False,False
f0-02,0,1,4,45,False,False,False,False
f0-04,0,1,4,57,True,True,True,False
f0-05,0,1,4,78,False,False,False,False
f0-07,0,1,4,13,False,False,False,False
f0-08,0,1,4,48,False,False,False,False
f0-10,0,1,4,73,False,False,False,False
f0-11,0,1,4,-7,False,False,False,False
f0-13,0,1,4,40,False,False,False,False
f0-14,0,1,4,54,False,False,False,False
f0-16,0,1,4,79,False,False,False,False
f0-17,0,1,4,14,False,False,False,False
f0-19,0,1,4,104,False,False,False,False
f0-20,0,1,4,64,False,False,False,False
f0-22,0,1,4,45,False,False,False,False
f0-23,0,1,4,16,False,False,False,False
f0-25,0,1,4,35,False,False,False,False
f0-26,0,1,4,26,False,False,False,False
f0-28,0,1,4,41,False,False,False,False
f0-29,0,1,4,49,False,False,False,False
f1-01,1,1,4,650,False,False,False,False
f1-02,1,1,4,506,False,False,False,False
f1-04,1,1,4,124,False,False,False,False
f1-05,1,1,4,215,False,False,False,False
f1-07,1,1,4,730,False,False,False,False
f1-08,1,1,4,422,False,False,False,False
f1-10,1,1,4,265,False,False,False,False
f1-11,1,1,4,42,False,False,False,False
f1-13,1,1,4,517,False,False,False,False
f1-14,1,1,4,1255,False,False,False,False
f1-16,1,1,4,377,False,False,False,False
f1-17,1,1,4,1211,False,False,False,False
f1-19,1,1,4,738,False,False,False,False
f1-20,1,1,4,164,False,False,False,False
f1-22,1,1,4,579,False,False,False,False
f1-23,1,1,4,310,False,False,False,False
f1-25,1,1,4,131,False,False,False,False
f1-26,1,1,4,337,False,False,False,False
f1-28,1,1,4,412,False,False,False,False
f1-29,1,1,4,805,False,False,False,False
f2-01,2,1,4,831,False,False,False,False
f2-02,2,1,4,736,False,False,False,False
f2-04,2,1,4,704,False,False,False,False
f2-05,2,1,4,724,False,False,False,False
f2-07,2,1,4,600,False,False,False,False
f2-08,2,1,4,127,False,False,False,False
f2-10,2,1,4,294,False,False,False,False
f2-11,2,1,4,1254,False,False,False,False
f2-13,2,1,4,1616,False,False,False,False
f2-14,2,1,4,802,False,False,False,False
f2-16,2,1,4,1313,False,False,False,False
f2-17,2,1,4,183,False,False,False,False
f2-19,2,1,4,359,False,False,False,False
f2-20,2,1,4,566,False,False,False,False
f2-22,2,1,4,694,False,False,False,False
f2-23,2,1,4,368,False,False,False,False
f2-25,2,1,4,157,False,False,False,False
f2-26,2,1,4,1428,False,False,False,False
f2-28,2,1,4,1988,False,False,False,False
f2-29,2,1,4,280,True,True,True,False
f3-01,3,1,4,474,False,False,False,False
f3-02,3,1,4,57,False,False,False,False
f3-04,3,1,4,96,False,False,False,False
f3-05,3,1,4,-1,False,False,False,False
f3-07,3,1,4,305,True,True,True,False
f3-08,3,1,4,386,False,False,False,False
f3-10,3,1,4,376,False,False,False,False
f3-11,3,1,4,204,False,False,False,False
f3-13,3,1,4,-1,False,False,False,False
f3-14,3,1,4,335,False,False,False,False
f3-16,3,1,4,292,False,False,False,False
f3-17,3,1,4,974,False,False,False,False
f3-19,3,1,4,154,False,False,False,False
f3-20,3,1,4,502,False,False,False,False
f3-22,3,1,4,579,False,False,False,False
f3-23,3,1,4,665,False,False,False,False
f3-25,3,1,4,115,False,False,False,False
f3-26,3,1,4,106,False,False,False,False
f3-28,3,1,4,225,False,False,False,False
f3-29,3,1,4,92,False,False,False,False
f0-01,0,2,native,38,True,True,True,False
f0-02,0,2,native,45,False,False,False,False
f0-04,0,2,native,57,True,True,True,False
f0-05,0,2,native,69,False,False,False,False
f0-07,0,2,native,44,False,False,False,False
f0-08,0,2,native,48,False,False,False,False
f0-10,0,2,native,73,False,False,False,False
f0-11,0,2,native,-7,False,False,False,False
f0-13,0,2,native,46,False,False,False,False
f0-14,0,2,native,58,False,False,False,False
f0-16,0,2,native,79,False,False,False,False
f0-17,0,2,native,35,False,False,False,False
f0-19,0,2,native,54,False,False,False,False
f0-20,0,2,native,38,False,False,False,False
f0-22,0,2,native,45,False,False,False,False
f0-23,0,2,native,16,False,False,False,False
